Grammar Point,Sentence Type,Structure,Meaning (VI),Grammar Example
Causative: have / get / make / let,Ph? d?nh,S + did not + have/get + O + V3,C?u trúc sai khi?n – nh?/b?t/d? ai làm gì,He didn't let anyone enter the room.
Causative: have / get / make / let,Nghi v?n,Did + S + have/get + O + V3?,C?u trúc sai khi?n – nh?/b?t/d? ai làm gì,Did you get your laptop fixed?
It's time / It's high time,Kh?ng d?nh,It's time + to V / It's high time + S + V2,Ðã d?n lúc ph?i làm gì; nh?n m?nh s? c?n thi?t,It's time to go. / It's high time you studied.
It's time / It's high time,Ph? d?nh,It's not time + to V,Ðã d?n lúc ph?i làm gì; nh?n m?nh s? c?n thi?t,It's not time to give up yet.
It's time / It's high time,Nghi v?n,Is it time + to V? / Isn't it high time + S + V2?,Ðã d?n lúc ph?i làm gì; nh?n m?nh s? c?n thi?t,Isn't it high time you apologized?
Would rather / Had better,Kh?ng d?nh,S + would rather + V / S + had better + V,would rather = thích hon; had better = nên (có hàm ý c?nh báo),I would rather stay home. / You had better hurry.
Would rather / Had better,Ph? d?nh,S + would rather not + V / S + had better not + V,would rather = thích hon; had better = nên (có hàm ý c?nh báo),She would rather not talk about it. / You had better not be late.
Would rather / Had better,Nghi v?n,Would + S + rather + V (than + V)?,would rather = thích hon; had better = nên (có hàm ý c?nh báo),Would you rather eat at home or go out?
Prefer / Would prefer,Kh?ng d?nh,S + prefer + V-ing/N + to + V-ing/N / S + would prefer + to V,prefer = thích hon (nói chung); would prefer = thích hon (tình hu?ng c? th?),I prefer reading to watching TV. / I would prefer to stay.
Prefer / Would prefer,Ph? d?nh,S + do not prefer + V-ing / S + would prefer + not + to V,prefer = thích hon (nói chung); would prefer = thích hon (tình hu?ng c? th?),She would prefer not to attend the meeting.
Prefer / Would prefer,Nghi v?n,Do + S + prefer + V-ing? / Would + S + prefer + to V?,prefer = thích hon (nói chung); would prefer = thích hon (tình hu?ng c? th?),Would you prefer to take a taxi or walk?
Inversion,Kh?ng d?nh,Never/Rarely/Seldom/Only + auxiliary + S + V,Ð?o ng? d? nh?n m?nh – dùng v?i tr?ng t?/c?m ph? d?nh d?ng d?u,Never have I seen such beauty. / Only then did I understand.
Inversion,Ph? d?nh,"Not only + auxiliary + S + V, but also...",Ð?o ng? d? nh?n m?nh – dùng v?i tr?ng t?/c?m ph? d?nh d?ng d?u,"Not only did he lie, but he also stole."
Inversion,Nghi v?n,Hardly/Scarcely + had + S + V3 + when + S + V2,Ð?o ng? d? nh?n m?nh – dùng v?i tr?ng t?/c?m ph? d?nh d?ng d?u,Hardly had she arrived when the phone rang.
Participle Clauses,Kh?ng d?nh,"V-ing / V3 + ..., S + V (rút g?n m?nh d? tr?ng ng?)",M?nh d? phân t? – rút g?n m?nh d? có cùng ch? ng?,"Seeing the dog, she screamed. / Exhausted, he sat down."
Participle Clauses,Ph? d?nh,"Not + V-ing + ..., S + V",M?nh d? phân t? – rút g?n m?nh d? có cùng ch? ng?,"Not knowing the answer, she remained silent."
Participle Clauses,Nghi v?n,(Thu?ng không dùng tr?c ti?p trong nghi v?n),M?nh d? phân t? – rút g?n m?nh d? có cùng ch? ng?,"Having finished the exam, did you feel relieved?"
So / Neither – Agreement,Kh?ng d?nh,So + auxiliary + S (d?ng ý v?i câu kh?ng d?nh),So = tôi cung v?y (d?ng ý kh?ng d?nh); Neither = tôi cung không (d?ng ý ph? d?nh),A: I love coffee. — B: So do I.
So / Neither – Agreement,Ph? d?nh,Neither + auxiliary + S (d?ng ý v?i câu ph? d?nh),So = tôi cung v?y (d?ng ý kh?ng d?nh); Neither = tôi cung không (d?ng ý ph? d?nh),A: I don't like spicy food. — B: Neither do I.
So / Neither – Agreement,Nghi v?n,(Không dùng d?ng nghi v?n tr?c ti?p),So = tôi cung v?y (d?ng ý kh?ng d?nh); Neither = tôi cung không (d?ng ý ph? d?nh),A: She can't swim. — B: Neither can he.
Equal Comparison: as...as,Kh?ng d?nh,S + V + as + adj/adv + as + N,So sánh b?ng – hai d?i tu?ng có m?c d? nhu nhau,She is as tall as her mother.
Equal Comparison: as...as,Ph? d?nh,S + V + not + as + adj + as + N,So sánh b?ng – hai d?i tu?ng có m?c d? nhu nhau,This film is not as good as the first one.
Equal Comparison: as...as,Nghi v?n,Is + S + as + adj + as + N?,So sánh b?ng – hai d?i tu?ng có m?c d? nhu nhau,Is this laptop as fast as the new model?
Double Comparative: the...the,Kh?ng d?nh,"The + comparative, the + comparative",Càng...càng – hai so sánh hon liên quan d?n nhau,"The harder you work, the more successful you become."
Double Comparative: the...the,Ph? d?nh,"The less + adj + S + V, the less + adj + S + V",Càng...càng – hai so sánh hon liên quan d?n nhau,"The less you worry, the happier you will be."
Double Comparative: the...the,Nghi v?n,(Thu?ng không dùng trong nghi v?n tr?c ti?p),Càng...càng – hai so sánh hon liên quan d?n nhau,"The earlier you start, the sooner you finish, right?"
Linking Words – Cause & Effect,Kh?ng d?nh,Because/Since/As + S + V / Because of/Due to + N,Di?n t? nguyên nhân và k?t qu?,"She stayed home because she was sick. / Due to the rain, the match was cancelled."
Linking Words – Cause & Effect,Ph? d?nh,"Because + S + did not + V, S + V",Di?n t? nguyên nhân và k?t qu?,"Because he did not study, he failed the exam."
Linking Words – Cause & Effect,Nghi v?n,Why + did + S + V? / What caused + N?,Di?n t? nguyên nhân và k?t qu?,Why did they cancel the event? Because of the storm.
Linking Words – Purpose,Kh?ng d?nh,so that + S + can/could + V / in order to + V / to + V,Di?n t? m?c dích c?a hành d?ng,She studied hard so that she could pass. / He left early to catch the train.
Linking Words – Purpose,Ph? d?nh,so that + S + would not + V / in order not to + V,Di?n t? m?c dích c?a hành d?ng,She whispered so that she would not wake the baby.
Linking Words – Purpose,Nghi v?n,Why + did + S + V? / What did + S + V for?,Di?n t? m?c dích c?a hành d?ng,Why did you call him? — To ask for help.
Linking Words – Result,Kh?ng d?nh,"Therefore / As a result / Consequently / Thus, S + V",Di?n t? k?t qu?/h?u qu? c?a hành d?ng tru?c dó,"He didn't study. As a result, he failed the exam."
Linking Words – Result,Ph? d?nh,"S + V. Therefore, S + could not + V",Di?n t? k?t qu?/h?u qu? c?a hành d?ng tru?c dó,"She was ill. Consequently, she could not attend."
Linking Words – Result,Nghi v?n,"(Thu?ng dùng trong van vi?t, không dùng tr?c ti?p trong nghi v?n)",Di?n t? k?t qu?/h?u qu? c?a hành d?ng tru?c dó,"What was the result? — Therefore, the project was delayed."
Prepositions of Time: at/on/in,Kh?ng d?nh,at + gi?/di?m c? th? / on + ngày/th? / in + tháng/nam/mùa,at = th?i di?m chính xác; on = ngày/th?; in = tháng/nam/mùa/kho?ng th?i gian,The meeting is at 9 AM. / She was born on Monday. / He arrived in July.
Prepositions of Time: at/on/in,Ph? d?nh,S + V + not + at/on/in + th?i gian,at = th?i di?m chính xác; on = ngày/th?; in = tháng/nam/mùa/kho?ng th?i gian,The shop is not open on Sundays.
Prepositions of Time: at/on/in,Nghi v?n,When + did + S + V? / At/On/In + what time?,at = th?i di?m chính xác; on = ngày/th?; in = tháng/nam/mùa/kho?ng th?i gian,At what time does the class start? / When were you born?
Prepositions of Place: at/on/in,Kh?ng d?nh,at + d?a di?m c? th? / on + b? m?t / in + không gian bao quanh,at = v? trí c? th?; on = trên b? m?t; in = bên trong,She is at school. / The book is on the table. / He lives in Hanoi.
Prepositions of Place: at/on/in,Ph? d?nh,S + V + not + at/on/in + noi ch?n,at = v? trí c? th?; on = trên b? m?t; in = bên trong,The keys are not on the desk. / He is not at home.
Prepositions of Place: at/on/in,Nghi v?n,Where + is/are + S? / Is + S + at/on/in + N?,at = v? trí c? th?; on = trên b? m?t; in = bên trong,Where is your sister? Is she at work?
Quantifiers: some / any / no,Kh?ng d?nh,some + N (kh?ng d?nh/d? ngh?) / no + N (ph? d?nh hoàn toàn),"some = m?t s? (kh?ng d?nh, d? ngh?); any = nào cung (nghi v?n/ph? d?nh); no = không có",There is some milk in the fridge. / No students came late.
Quantifiers: some / any / no,Ph? d?nh,S + V + not + any + N (= no + N),"some = m?t s? (kh?ng d?nh, d? ngh?); any = nào cung (nghi v?n/ph? d?nh); no = không có",There isn't any sugar left. / She has no time.
Quantifiers: some / any / no,Nghi v?n,Is there any + N? / Would you like some + N?,"some = m?t s? (kh?ng d?nh, d? ngh?); any = nào cung (nghi v?n/ph? d?nh); no = không có",Is there any water left? / Would you like some tea?
